transit_timestamp,station_complex_id,station_complex,borough,ridership,transfers,latitude,longitude,hour,day_of_week,month,is_weekend,congestion_level
2024-09-02 00:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,400.0,0,40.725914,-73.99466,0,0,9,0,Medium
2024-09-02 01:00:00,16,"8 St-NYU (R,W)",Manhattan,59.0,0,40.730328,-73.99263,1,0,9,0,Low
2024-09-02 01:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,396.0,0,40.732338,-74.000496,1,0,9,0,Medium
2024-09-02 01:00:00,407,Astor Pl (6),Manhattan,85.0,0,40.730053,-73.99107,1,0,9,0,Low
2024-09-02 01:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,186.0,0,40.725914,-73.99466,1,0,9,0,Low
2024-09-02 02:00:00,16,"8 St-NYU (R,W)",Manhattan,41.0,0,40.730328,-73.99263,2,0,9,0,Low
2024-09-02 02:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,309.0,0,40.732338,-74.000496,2,0,9,0,Medium
2024-09-02 02:00:00,407,Astor Pl (6),Manhattan,56.0,0,40.730053,-73.99107,2,0,9,0,Low
2024-09-02 02:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,108.0,0,40.725914,-73.99466,2,0,9,0,Low
2024-09-02 03:00:00,16,"8 St-NYU (R,W)",Manhattan,24.0,0,40.730328,-73.99263,3,0,9,0,Low
2024-09-02 03:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,96.0,0,40.732338,-74.000496,3,0,9,0,Low
2024-09-02 03:00:00,407,Astor Pl (6),Manhattan,19.0,0,40.730053,-73.99107,3,0,9,0,Low
2024-09-02 03:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,78.0,0,40.725914,-73.99466,3,0,9,0,Low
2024-09-02 04:00:00,16,"8 St-NYU (R,W)",Manhattan,17.0,0,40.730328,-73.99263,4,0,9,0,Low
2024-09-02 04:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,83.0,0,40.732338,-74.000496,4,0,9,0,Low
2024-09-02 04:00:00,407,Astor Pl (6),Manhattan,16.0,0,40.730053,-73.99107,4,0,9,0,Low
2024-09-02 04:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,40.0,0,40.725914,-73.99466,4,0,9,0,Low
2024-09-02 05:00:00,16,"8 St-NYU (R,W)",Manhattan,7.0,0,40.730328,-73.99263,5,0,9,0,Low
